Files,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29, Class
Hunger-02,928.1159420289855, 928.2608695652174, 931.5942028985507, 919.7101449275362, 933.3333333333334, 919.5652173913044, 929.8550724637681, 941.7391304347826, 946.5217391304349, 925.5072463768116, 922.0289855072464, 931.7391304347826, 939.2753623188406, 919.8550724637681, 936.8115942028986, 920.7246376811595, 922.1739130434783, 945.072463768116, 944.2028985507246, 944.9275362318841, 926.5217391304349, 952.8985507246377, 930.0, 935.2173913043479, 933.4782608695652, 920.5797101449276, 920.8695652173914, 946.6666666666667, 951.7391304347826, 921.8840579710145,0
Hunger-03,1264.6974063400576, 1264.985590778098, 1261.671469740634, 1259.942363112392, 1261.9596541786743, 1260.2305475504322, 1280.9798270893373, 1287.3198847262247, 1264.4092219020174, 1288.328530259366, 1265.706051873199, 1265.2737752161383, 1287.0317002881845, 1283.7175792507205, 1282.7089337175792, 1261.3832853025938, 1279.971181556196, 1305.6195965417867, 1294.8126801152737, 1294.5244956772335, 1286.3112391930836, 1306.9164265129684, 1280.2593659942363, 1288.0403458213257, 1265.9942363112393, 1283.4293948126801, 1280.691642651297, 1256.9164265129684, 1288.6167146974065, 1259.6541786743517,0
Hunger-04,1135.6321839080458, 1140.0862068965516, 1135.4885057471263, 1135.7758620689654, 1139.942528735632, 1135.3448275862067, 1139.7988505747126, 1140.2298850574712, 1137.6436781609195, 1137.787356321839, 1137.5, 1135.919540229885, 1142.2413793103447, 1137.9310344827586, 1141.9540229885056, 1142.0977011494251, 1140.3735632183907, 1139.655172413793, 1137.3563218390805, 1916.3793103448274, 1138.0747126436781, 1142.3850574712642, 1142.5287356321837, 1921.4080459770114, 1135.2011494252872, 1141.810344827586, 1916.6666666666665, 1921.1206896551723, 1142.6724137931035, 1136.0632183908044,0
Hunger-05,365.6521739130435, 370.4347826086957, 365.36231884057975, 361.304347826087, 358.4057971014493, 341.59420289855075, 367.6811594202899, 365.94202898550725, 366.231884057971, 334.05797101449275, 362.17391304347825, 363.33333333333337, 364.92753623188406, 372.0289855072464, 338.2608695652174, 341.0144927536232, 364.7826086956522, 330.57971014492756, 359.71014492753625, 338.4057971014493, 334.6376811594203, 362.0289855072464, 356.95652173913044, 364.05797101449275, 350.72463768115944, 360.0, 366.0869565217391, 340.57971014492756, 337.6811594202899, 341.4492753623189,0
Hunger-06,864.2028985507246, 865.5072463768116, 863.9130434782609, 862.608695652174, 812.1739130434783, 865.7971014492754, 803.0434782608696, 867.1014492753624, 860.4347826086956, 860.1449275362319, 809.4202898550725, 813.768115942029, 859.1304347826087, 809.8550724637681, 810.5797101449276, 805.7971014492754, 858.6956521739131, 858.840579710145, 866.8115942028986, 865.6521739130435, 812.463768115942, 805.5072463768116, 860.0, 818.2608695652174, 670.7246376811595, 861.7391304347826, 864.3478260869565, 864.0579710144928, 815.2173913043479, 860.2898550724638,0
Hunger-07,554.0816326530611, 553.6443148688046, 554.3731778425655, 569.8250728862973, 567.3469387755101, 573.6151603498541, 569.9708454810495, 830.0291545189503, 830.1749271137026, 579.5918367346937, 567.4927113702623, 829.8833819241981, 559.6209912536442, 567.6384839650145, 830.4664723032068, 813.8483965014576, 555.1020408163265, 829.737609329446, 568.9504373177841, 569.3877551020407, 565.0145772594751, 553.4985422740524, 830.3206997084546, 553.7900874635568, 812.2448979591835, 571.4285714285713, 830.9037900874634, 554.2274052478133, 813.7026239067054, 830.612244897959,0
Hunger-08,953.735632183908, 205.89080459770113, 256.17816091954023, 948.419540229885, 916.9540229885057, 248.9942528735632, 943.8218390804598, 951.4367816091954, 953.5919540229885, 955.1724137931034, 916.8103448275862, 255.89080459770113, 245.25862068965515, 583.3333333333333, 952.2988505747126, 953.8793103448276, 951.2931034482758, 586.6379310344827, 953.1609195402298, 949.7126436781608, 585.0574712643678, 208.33333333333331, 943.6781609195401, 955.3160919540229, 201.00574712643677, 945.5459770114942, 949.9999999999999, 243.6781609195402, 952.4425287356321, 953.0172413793102,0
Hunger-09,800.2881844380404, 845.3890489913545, 845.6772334293948, 846.3976945244957, 846.5417867435159, 836.599423631124, 798.5590778097983, 845.5331412103747, 792.0749279538906, 798.1268011527378, 844.2363112391931, 846.685878962536, 796.5417867435159, 844.3804034582133, 1714.8414985590778, 795.6772334293948, 779.971181556196, 1715.2737752161383, 781.1239193083574, 778.5302593659942, 799.2795389048991, 792.507204610951, 836.8876080691642, 818.299711815562, 2182.8530259365994, 2183.28530259366, 2183.7175792507205, 2184.870317002882, 784.2939481268012, 857.492795389049,0
Hunger-10,431.54761904761904, 432.88690476190476, 431.69642857142856, 425.89285714285717, 433.0357142857143, 440.32738095238096, 429.4642857142857, 430.2083333333333, 440.17857142857144, 441.51785714285717, 425.29761904761904, 434.375, 431.3988095238095, 427.23214285714283, 398.6607142857143, 398.36309523809524, 398.51190476190476, 433.1845238095238, 432.73809523809524, 434.5238095238095, 425.7440476190476, 441.6666666666667, 440.4761904761905, 398.8095238095238, 429.3154761904762, 430.95238095238096, 426.0416666666667, 430.80357142857144, 434.2261904761905, 425.1488095238095,0
Hunger-11,163.27433628318585, 126.10619469026548, 136.72566371681415, 184.66076696165192, 159.2920353982301, 206.93215339233038, 213.5693215339233, 144.69026548672565, 182.15339233038347, 136.13569321533924, 182.30088495575222, 185.9882005899705, 144.8377581120944, 207.22713864306783, 209.14454277286134, 126.40117994100295, 246.90265486725664, 211.06194690265485, 126.25368731563421, 150.44247787610618, 184.36578171091446, 186.13569321533922, 213.27433628318585, 177.87610619469027, 217.8466076696165, 134.80825958702064, 177.72861356932154, 121.38643067846607, 215.4867256637168, 124.04129793510324,0
